Brand_Name,Shoe Descripition,Discounted Price,Actual_price
ASIAN,Men Colourblocked Sneakers,824,1499
Campus,Men Colourblocked Sneakers,1899,2499
NEEMANS,Men Penny Driving Shoes,1799,3499
Red Tape,Men Textured Sneakers,1637,6299
Bata,Men Round Toe Loafers,714,1099
RUN SEVEN,Men PU Sneakers,1302,3599
ASIAN,Men Colourblocked Sneakers,749,1499
Sparx,Comfort Insole Shoes,850,899
Lotto,Men Arch Support Sneakers,1795,4499
GULASS WICK,Men Casual Shoes,659,1999
Roadster,Men Colourblocked Sneakers,683,3795
ZAYDN,Men Lace-Ups Casual Sneaker,1405,2999
ASIAN,Men Perforations Sneakers,679,1499
Flying Machine,Men Sneakers,1535,3199
Lotto,Impulso Citta Brown Sneakers,1795,4499
ASIAN,Men Colourblocked Sneakers,679,1499
Ducati,Men Everyday Sneakers,1087,3399
Roadster,Men PU Beige Sneakers,719,3999
ASIAN,Men Colourblocked Sneakers,699,1499
NEEMANS,Men Slip On Loafers,1599,3299
JQR,Men RUMBA Sneakers,824,1499
House of Pataudi,Men Casual Slip On Loafers,1262,3079
NEEMANS,Unisex Comfort Insole Sneakers,1199,3999
San Frissco,Men Textured Loafers,1549,6495
FUNNY FIRE,Men Sneakers,831,1999
ASIAN,Men Tarzan-05 Sneakers,659,1499
HRX by Hrithik Roshan,Men Woven Slip-On Sneakers,749,2999
Sparx,Slip-On Shoes,909,1299
FCUK,Men Everyday Sneakers,1367,3599
Roadster,Men Round Toe Espadrilles,922,4195
ASIAN,Men Lightweight Sneakers,719,1499
GULASS WICK,Men Casual Shoes,659,1999
Campus,KNICK Men Lace-Up Sneaker,1199,2499
Puma,Men Colourblocked Sneakers,1574,4499
NEEMANS,Unisex Woven Design Sneakers,1499,4299
Campus,Colourblocked Round Toe Shoes,1199,1999
HRX by Hrithik Roshan,Men Sneakers,961,3699
Aeropostale,Men Perforated Detail Sneakers,959,2999
yoho,Men Kite Comfy SlipOn Sneakers,975,2499
GULASS WICK,Men Casual Shoes,659,1999
Puma,Men Colourblocked Sneakers,1574,4499
