Brand_Name,Shoe Descripition,Discounted Price,Actual_price
Flying Machine,Men PU Sneakers,1599,3199
San Frissco,Men Textured Loafers,1549,6495
HRX by Hrithik Roshan,Men Woven Design Sneakers,620,2699
NEEMANS,Men Woven Design Loafers,1699,2999
Provogue,Men Lightweight Loafers,659,3299
NEEMANS,Textured Slip-On Sneakers,1289,4299
AfroJack,Men Colourblocked Sneakers,1149,6995
HRX by Hrithik Roshan,Men Woven Slip-On Sneakers,749,2999
Campus,Men Perforations Sneakers,1127,1799
House of Pataudi,Men Lightweight Loafers,1544,3699
Roadster,Men Round Toe Espadrilles,922,4195
NEEMANS,Men Woven Design Slip-On Sneakers,1749,2999
Roadster,Laced Up Casual Shoes,725,3299
BOLDFIT,Men Colourblocked Sneakers,1249,2799
Ducati,Men Perforated Sneakers,1022,3299
Mochi,Men Leather Loafers,1618,2490
Campus,KNICK Men Lace-Up Sneaker,1199,2499
Sparx,Comfort Insole Shoes,850,899
Ducati,Men Everyday Sneakers,1154,3299
Campus,Colourblocked Round Toe Shoes,1199,1999
ASIAN,Men Round Toe Sneakers,749,1499
HITWAY,Men Grey Casual Shoes,1867,2999
yoho,,975,2499
Ducati,Men Everyday Sneakers,1022,3299
NEEMANS,Men Penny Loafers,1294,3699
Campus,Men Colourblocked Sneakers,1483,2899
HRX by Hrithik Roshan,Men Basics Sneakers,989,4499
WROGN,Men Printed Sneakers,1399,3499
NEEMANS,Men Relive Knit Boat Loafer,1799,2999
Roadster,Men Casual Sneakers,974,2870
Ducati,Men Everyday Sneakers,1055,3299
Campus,Men Lace-Up Sneaker,999,1599
NEEMANS,Men Round Toe Loafers,1294,3699
Flying Machine,Men SAUL Colourblocked Sneaker,1574,3499
Roadster,Men Textured Casual Espadrille,964,4195
Flying Machine,CRESPO Colourblocked Sneakers,1574,3499
Puma,Men Colourblocked Sneakers,1574,4499
ZAYDN,Men Colourblocked Sneakers,1405,2999
FUNNY FIRE,Men Lightweight Loafers,850,1999
Mochi,Men Woven Design Mojaris,1769,1990
NEEMANS,Men Penny Driving Shoes,1799,3499
Forca,Men Colourblocked Sneakers,1511,1699
Roadster,Colourblocked Casual Sneakers,788,2995
ZAYDN,Men Colourblocked Sneakers,1405,2599
Red Tape,Men Colourblocked Sneakers,2009,6699
GULASS WICK,Men Casual Shoes,659,1999
Roadster,Men Casual Sneakers,859,4295
ASIAN,Men Colourblocked Sneakers,659,1499
Red Tape,Men Colourblocked Sneakers,2039,6799
Campus,Men Colourblocked Sneakers,1424,2999
Bata,Solid Round Toe Loafers,991,1599
JQR,Men Solid Sneakers,866,1699
Roadster,Men Casual Moccasins Loafers,997,4495
Campus,Lace-Ups Round Toe Sneakers,1199,1999
ASIAN,Men EVEREST-22 Sneakers,1349,2999
ZAYDN,Men Colourblocked Sneakers,1405,2999
HRX by Hrithik Roshan,Men Bomba Sneakers,1271,5299
Roadster,Men Casual Sneakers,857,3299
ZAYDN,Cooper Men's Casual Sneaker,1405,2999
JQR,Men Colourblocked Sneakers,866,1699
GULASS WICK,Men Casual Shoes,659,1999
Campus,Men Woven Design Sneakers,799,1499
Duke,Men Sleekstyle Slip-On Loafers,716,1119
Red Tape,Men Textured Sneakers,2099,6999
ZAYDN,Men Casual Sneaker,1405,2999
Red Tape,Men Colourblocked Sneakers,1889,6299
Ducati,Men Sneakers,1484,3299
Roadster,Men Casual Loafers,998,4195
Campus,Men Colourblocked Sneakers,1661,2199
Metro,Men Textured Leather Loafers,1479,2690
BOLDFIT,Men Slip-On Sneakers,799,1999
Atom,Men Textured Mesh Sneakers,1584,3299
GULASS WICK,,659,1999
Roadster,Men Casual Sneakers,859,4295
ASIAN,Men Lace-Ups Sneakers,734,1499
WROGN,Men Colourblocked Sneakers,1352,3299
Jaripeo by Buckaroo,Men Sneakers,1599,3199
House of Pataudi,Textured Lightweight Mojaris,1694,3499
Puma,Men C-Block Sneakers,1574,4499
KASTAVA,Men Round Toe Horsebit Loafers,749,3299
GULASS WICK,Men Casual Shoes,659,1999
HRX by Hrithik Roshan,Men Colourblocked Sneakers,1399,4999
Roadster,Men Round-Toe Sneakers Shoes,998,4495
HRX by Hrithik Roshan,Men Lace-Ups Sneakers,999,3699
Roadster,Men Sneakers,830,3795
LOUIS STITCH,Men Leather Mojaris,1699,2999
